category_name,name,api_poiName,api_poiBrand,name_ref_nrm,name_prov_nrm,location_distance_m,match,match_code,cnn_match,edit_distance_match,name_matching,cnn_name_match_score
Airport,ing alberto acuna ongay,aeropuerto internacional de campeche,[Aeropuerto Internacional de Campeche],campeche,campeche,453.91254,True,1,True,True,1.0,0.9997871
Automotive Dealer,gsau chevrolet san francisco,chevrolet del parque,[Chevrolet del Parque], chevrolet , chevrolet ,52.6786,True,1,True,True,1.0,0.9999925
Automotive Dealer,carcity seminuevos,carcity seminuevos,[Carcity Seminuevos],carcity seminuevos,carcity seminuevos,112.06887,True,1,True,True,1.0,0.9998435
Restaurant,la muralla comida china,la gran muralla,[La Gran Muralla],muralla comida china,muralla,287.266,False,2,True,True,1.0,0.99724054
Hotel Or Motel,hotel el principal,motel principal,[Motel Principal],el principal,principal,40.0992,True,1,True,True,1.0,0.9992874
Café/Pub,postales de cafe,postales de cafe,[Postales De Café],postales,postales,18.822393,True,1,True,True,1.0,0.9995619
Shopping Center,xalapa,liverpool xalapa plaza crystal,[Liverpool],xalapa,liverpool xalapa plaza crystal,647.20715,True,1,True,True,1.0,0.9997417
Important Tourist Attraction,perimagico,perimagico,[Perimagico],perimagico,perimagico,646.4825,True,1,True,True,1.0,0.99994254
Automotive Dealer,autos rocha,autos rocha,[Autos Rocha],rocha,rocha,146.15083,True,1,True,True,1.0,0.9998317
Restaurant,asadero chumari 1,asadero el chumari,[Asadero El Chumari],asadero chumari 1,asadero el chumari,8.289555,True,1,True,True,0.9399999976158142,0.999824
Sports Center,euphoria gym,gimnasio euphoria,[Gimnasio Euphoria],euphoria,gimnasio euphoria,44.494778,True,1,True,True,1.0,0.92509216
Amusement Park,el caracol,unidad deportiva el cedazo,[Unidad Deportiva el Cedazo],el caracol,unidad deportiva el cedazo,387.25476,False,6,False,False,0.3300000131130218,0.029853558
Automotive Dealer,candido automotriz,candido automotriz especialistas,[Candido Automotriz Especialistas],candido automotriz,candido automotriz especialistas,86.19997,True,1,True,True,1.0,0.99999285
Restaurant,maximo,maximo bistrot local,[Maximo Bistrot Local],maximo,maximo bistrot local,39.84542,True,1,True,True,1.0,0.9952525
Automotive Dealer,tu auto,zapateria tu ego,[Zapatería Tu Ego],tu,zapateria tu ego,887.87634,False,2,True,True,1.0,0.95183694
Automotive Dealer,automotriz naucalpan,naucalpan,[Naucalpan],automotriz naucalpan,naucalpan,840.5353,False,2,True,True,1.0,0.99995106
Place of Worship,iglesia adventista del septimo dia zaragoza,iglesia adventista el septimo dia,[Iglesia Adventista El Séptimo Día],iglesia adventista septimo dia zaragoza,iglesia adventista el septimo dia,925.44,True,1,True,True,0.949999988079071,0.9999958
Shopping Center,plaza comercial,oxxo pablo neruda gdl,[Oxxo],plaza comercial,cadena comercial oxxo,175.35051,True,1,True,True,0.75,0.7084991
Important Tourist Attraction,plazuela miguel auza,miguel auza,[Miguel Auza],plazuela miguel auza,miguel auza,12.344581,True,1,True,True,1.0,0.9998382
Automotive Dealer,autos executive,autos executive,[Autos Executive],executive,executive,8.607485,True,1,True,True,1.0,0.9998639
School,escuela primaria miguel hidalgo,escuela primaria migel hidalgo y costilla,[Escuela Primaria Migel Hidalgo y Costilla],primaria miguel hidalgo,primaria migel hidalgo y costilla,68.50405,True,1,True,True,0.8199999928474426,0.99994504
Place of Worship,iglesia,iglesia de los dolores,[Iglesia De Los Dolores],iglesia,iglesia dolores,116.03831,True,1,True,True,1.0,0.99999344
Sports Center,sport center xochimilco,centro deportivo xochimilco,[Centro Deportivo Xochimilco],sport center xochimilco,centro deportivo xochimilco,1181.9197,True,1,True,True,0.8399999737739563,0.9992293
Museum,museo de los metales,museo de los metales,[Museo De Los Metales],metales,metales,138.97513,True,1,True,True,1.0,0.99995667
Automotive Dealer,autos rodriguez,autos rodriguez motors,[Autos Rodriguez Motors],rodriguez,rodriguez,5.101747,True,1,True,True,1.0,0.9999156
Café/Pub,freya cafe,freya cafe,[Freya Café],freya,freya,21.223642,True,1,True,True,1.0,0.9999922
Important Tourist Attraction,palacio de bellas artes,palacio de bellas artes,[Palacio de Bellas Artes],palacio bellas artes,palacio bellas artes,32.468,True,1,True,True,1.0,0.9999989
Market,hacienda market,abarrotes hacienda market,[Abarrotes Hacienda Market],hacienda,abarrotes hacienda,1168.5614,True,1,True,True,1.0,0.99658334
Shopping Center,juegos plaza universidad,yak universidad,[Yak Universidad],juegos plaza universidad,yak universidad,138.07843,True,1,True,True,0.8500000238418579,0.96181655
Place of Worship,templo maranatha,capilla de san juanita,[Capilla De San Juanita],templo maranatha,capilla san juanita,2187.7393,False,6,False,False,0.2300000041723251,0.04599881
Hotel Or Motel,motel eclipse,motel eclipse,[Motel Eclipse],eclipse,eclipse,135.04292,True,1,True,True,1.0,0.9993525
Shopping Center,ciudadela urban village,plaza ciudadela,[Plaza Ciudadela],ciudadela urban village,plaza ciudadela,40.7252,True,1,True,True,0.75,0.6427253
Restaurant,district wings restaurant,restaurante district wings,[Restaurante District Wings], wings , wings ,438.15723,False,2,True,True,1.0,0.9999266
Museum,paredones en san pedro atmatla,puente de cristal,[Puente De Cristal],paredones en san pedro atmatla,puente cristal,1766.3047,False,6,False,False,0.3600000143051147,0.08077722
Hotel Or Motel,motel la loma,hotel la loma,[Hotel La Loma],loma,loma,92.10171,True,1,True,True,1.0,0.9981931
Museum,san esteban tetelpan community museum a c,museo comunitario san esteban tetelpan ac,[Museo Comunitario San Esteban Tetelpan Ac],san esteban tetelpan community a c,comunitario san esteban tetelpan ac,101.09616,True,1,True,True,0.8999999761581421,0.99994564
Shopping Center,parque alameda,yak alameda,[Yak Alameda],parque alameda,yak alameda,47.314724,True,1,True,True,0.7799999713897705,0.9944715
Important Tourist Attraction,eco park cuzam,ecoparque cuzam,[Ecoparque Cuzam],eco park cuzam,ecoparque cuzam,59.76492,True,1,True,True,0.8299999833106995,0.9978917
Automotive Dealer,grupo tu auto,bodega auxiliar de materiales del grupo san angel,[Bodega Auxiliar De Materiales Del Grupo San Angel],grupo tu,bodega auxiliar materiales grupo san angel,575.4763,True,1,True,True,0.7699999809265137,0.9862504
Hotel Or Motel,motel greens,motel green s,[Motel Green S],greens,green s,10.305232,True,1,True,True,0.9200000166893004,0.9976965
Airport,gratiot community,gratiot community airport,[Gratiot Community Airport],gratiot community,gratiot community,434.8504,True,1,True,True,1.0,0.9999623
Airport,crossville memorial whitson,crossville memorial airport,[Crossville Memorial Airport],crossville memorial whitson,crossville memorial,320.43283,True,1,True,True,1.0,0.9999939
Airport,dothan,dothan regional airport,[Dothan Regional Airport],dothan,dothan,719.2727,True,1,True,True,1.0,0.99981785
Airport,fort lauderdale executive,fort lauderdale executive airport,[Fort Lauderdale Executive Airport],fort lauderdale executive,fort lauderdale executive,333.78302,True,1,True,True,1.0,1.0
Airport,west houston,west houston airport,[West Houston Airport],houston,houston,120.64811,True,1,True,True,1.0,0.9998891
Airport,kalaupapa,kalaupapa airport,[Kalaupapa Airport],kalaupapa,kalaupapa,4225.072,True,1,True,True,1.0,0.99994844
Airport,meridian,key field,[Key Field],key,key field,847.2299,True,1,True,True,1.0,0.96768427
Shopping Center,shoppes at millenia,mattress firm shoppes at millenia,[Mattress Firm],shoppes at millenia,mattress firm shoppes at millenia,33.09441,True,1,True,True,1.0,0.99999857
Shop,all star pawn shop,all star pawn shop,[All Star Pawn Shop],all star pawn,all star pawn,2.8394396,True,1,True,True,1.0,0.99989635
Shop,oh yeah,oh yeah,[Oh Yeah!],oh yeah,oh yeah,23.759123,True,1,True,True,1.0,0.9994852
Hotel Or Motel,heat hotel,heat hotel,[Heat Hotel],heat,heat,7.762234,True,1,True,True,1.0,0.9999901
Museum,kirkland museum of fine decorative art,kirkland museum of fine decorative art,[Kirkland Museum Of Fine & Decorative Art],kirkland fine decorative,kirkland fine decorative,16.73083,True,1,True,True,1.0,0.9999635
Restaurant,catfish sams,catfish sams,[Catfish Sam's],catfish sams,catfish sams,177.93755,True,1,True,True,1.0,0.99999976
Automotive Dealer,west main auto sales,west main auto sales,[West Main Auto Sales],main sales,main sales,26.979681,True,1,True,True,1.0,0.9999289
Hotel Or Motel,western holiday motel,western holiday motel,[Western Holiday Motel],western holiday,western holiday,47.160084,True,1,True,True,1.0,0.9999988
Museum,museum of the palestinian people,museum of palestine people,[Museum of Palestine People],palestinian people,palestine people,0.42417556,True,1,True,True,0.8799999952316284,0.9999095
Museum,howard university museum,howard university museum,[Howard University Museum],howard university,howard university,4.665931,True,1,True,True,1.0,0.99995923
Hotel Or Motel,extended stay america boston westborough east main street,extended stay deluxe,[Extended Stay Deluxe], extended  stay  america , extended  stay  deluxe ,4.2879314,True,1,True,True,0.7900000214576721,0.9980848
Place of Worship,emanual temple,flat rock baptist church,[Flat Rock Baptist Church],emanual temple,flat rock baptist,1573.967,False,6,False,False,0.1899999976158142,0.034697466
Market,glenn walters grocery,glenn walters,[Glenn Walters],glenn walters grocery,glenn walters,18.172588,True,1,True,True,1.0,0.99999434
Shop,executive image,executive image,[Executive Image],executive image,executive image,1.5180513,True,1,True,True,1.0,0.99998945
Shopping Center,olympic square,olympic square,[Olympic Square],olympic square,olympic square,17.698025,True,1,True,True,1.0,0.9999976
Park and Recreation Area,baker park,baker park,[Baker Park],baker,baker,13.239011,True,1,True,True,1.0,0.9998907
Hotel Or Motel,hampton inn lake havasu city,hampton by hilton lake havasu city,[Hampton by Hilton], hampton  inn , hampton ,20.468233,True,1,True,True,1.0,0.99991095
Important Tourist Attraction,world peace bell,world peace bell,[World Peace Bell],world peace bell,world peace bell,3.3193758,True,1,True,True,1.0,0.9999848
Airport,general rafael buelna,aeropuerto internacional de mazatlan,[Aeropuerto Internacional de Mazatlán],general rafael buelna,general rafael buelna rafael buelna,737.1058,True,1,True,True,1.0,0.99995774
Restaurant,alux restaurant bar and lounge,restaurante alux and lounge,[Restaurante Alux And Lounge],alux bar lounge,alux lounge,34.610336,True,1,True,True,1.0,0.99994993
Automotive Dealer,class motors leon,leon,[León],class leon,leon,879.27826,False,2,True,True,1.0,0.9623119
Automotive Dealer,autos colosio,autos colosio,[Autos Colosio],colosio,colosio,31.395428,True,1,True,True,1.0,0.99974537
Important Tourist Attraction,parque reforma social,parque reforma social,[Parque Reforma Social],parque reforma social,parque reforma social,16.895002,True,1,True,True,1.0,0.9999876
Place of Worship,iglesia eben ezer a d,iglesia cristo rey,[Iglesia Cristo Rey],iglesia eben ezer a d,iglesia,2106.4155,False,2,True,True,1.0,0.99996346
Restaurant,tiritas don richard,restaurante el tiritas,[Restaurante El Tiritas],tiritas don richard,el tiritas,1140.4012,False,2,True,True,0.8199999928474426,0.93981606
