name_1,name_2,prediction,token_set_ratio,label,error
rancho almirecas,bahia de las almejas,0.00030906592,0.5,0.0,False
santa maria,rio baia,0.21408479,0.42,0.0,False
zorrillas,zorrilla,0.80615675,0.94,1.0,False
cerro aguja el oriental,oricibo,0.050555147,0.2,0.0,False
olavaria,olavarria,0.99743074,0.94,1.0,False
arroyo el tepozan,tepozan,0.99248636,1.0,1.0,False
potrero de santa ana,pozas de santa ana,0.65150076,0.8,1.0,False
corralo,yoricostio,0.022586474,0.35,0.0,False
zozocolco de guerrero,zozocolco,0.9072111,1.0,1.0,False
rio san jose,cano san jose,0.2635231,0.8,0.0,False
huhbichen,hubichen,0.99975365,0.94,1.0,False
estacion berazategui,berazategui,0.998713,1.0,1.0,False
cienega,cienaga,0.50948036,0.86,1.0,False
cerro huilziltzin,huilziltzin,0.9967154,1.0,1.0,False
el cartagon,el cartagon,0.9988777,1.0,1.0,False
cerro estiladero,cupicuaro,0.32492885,0.24,1.0,True
rio chico nuri,batea,0.28915802,0.0,1.0,True
ingenio rascon,rio el bamuri,0.04690548,0.3,0.0,False
caserio la jara,la jamula,0.0004225012,0.5,0.0,False
arroyo pajaro,cerrito de maria,0.00085863995,0.21,0.0,False
san juan de letran,el jardin,0.104140505,0.37,0.0,False
aeropuerto de guanare,svgu,0.044543684,0.16,1.0,True
rivera oreja,rivera oveja,0.948074,0.92,1.0,False
tatus,el tanquecito,0.64087605,0.33,0.0,True
puerto la chiveria,canada los trejo,0.0051443386,0.41,0.0,False
ba er si,balsh,0.70136636,0.46,1.0,False
le marchand,hotel de marchand,0.9959775,0.84,1.0,False
arroyo de la guadana,altos de la canada,0.0383905,0.63,0.0,False
galipan,san jose de galipan,0.9932932,1.0,1.0,False
regoa,regla de perandones,0.11279649,0.33,0.0,False
departamento de rio seco,departamento de rio seco,0.9943106,1.0,1.0,False
cienega de ortiz,licenclado primo verdad,0.022736693,0.31,0.0,False
el dextho,dexha,0.016094198,0.57,0.0,False
rincon de los bueyes,del setenta y cinco,0.64307445,0.26,1.0,False
rio mucuchachi,rio macaira,0.25095794,0.64,0.0,False
villa jose azueta,villa azueta,0.9991133,1.0,1.0,False
rio espera,arroyo gelvez,0.1526148,0.17,0.0,False
fronton del fraile,rio faricheta,0.0780478,0.32,0.0,False
ka wei song de la sa er,cabezon de la sal,0.22496642,0.5,1.0,True
santiago platanala,san jose sabinillo,0.00049153884,0.33,0.0,False
caserio lo baturno,canada de la loba,0.0009917855,0.34,0.0,False
rio presidio,presas gavilany,0.035358228,0.3,0.0,False
apeadero union ferroviaria,salto reunion,0.008267327,0.31,0.0,False
puerto deportivo,cala del galapago,0.0072837765,0.24,0.0,False
hoya san cristobal,hoya san cristobal,0.8771103,1.0,1.0,False
caserio veguillas,vega de torralba,0.0003934119,0.36,0.0,False
penasquito,los penasquitos,0.99757594,0.8,1.0,False
anguilan,anguinan,0.1945497,0.88,1.0,True
sierra de torongeneu,sierra de vinchina,0.51958275,0.67,0.0,True
sierra de huebras,sierra de huebas,0.9591543,0.97,1.0,False
villarino,villarino dos ares,0.91456574,1.0,1.0,False
isla morena,punta parula,0.0021690591,0.43,0.0,False
canon los caballos,canon de los caballos,0.95895237,1.0,1.0,False
vega de espinareda,vega del espinareda,0.9716315,0.97,1.0,False
rio jayoba,sistema de guayana,0.0021339923,0.36,0.0,False
g rugestein,estancia la sara,0.0018451475,0.3,0.0,False
rancho san isidro,san isidro,0.97885233,1.0,1.0,False
zarquenos,los zarquenos,0.99687797,1.0,1.0,False
santa cruz tlaxcala,santa cruz,0.7434415,1.0,1.0,False
rio cortiella,ri cortella,0.9717655,0.92,1.0,False
san ciprian,san cipriano,0.6335849,0.96,1.0,False
rio del jague,rio vinchina,0.47840282,0.4,1.0,True
municipio antonio diaz,rio antabayo,0.010635308,0.35,0.0,False
cortijada del burrueco,cortijada el berrueco,0.9771803,0.93,1.0,False
ignacio manuel altamirano,los iglesias,0.1914507,0.22,0.0,False
santa lucia,loma gueero luis,0.15151377,0.3,0.0,False
aitzandi,punta aizlandi,0.24295308,0.64,1.0,True
hupanguearo,cerro el idolo,0.00081145915,0.24,0.0,False
guevea de humboldt,guevea de humboldt,0.9992042,1.0,1.0,False
suaca,zuata,0.03517615,0.6,0.0,False
rio guasuntlan,guasuntlan,0.5757896,1.0,0.0,True
villacampa,villabuena de alava,0.03041811,0.41,0.0,False
fortin cacique,ex fortin cacique,0.9993515,1.0,1.0,False
tetla segunda seccion,teotlalpan,0.9131546,0.32,1.0,False
misne balam,misnebalan,0.95702404,0.48,1.0,False
golfo santa fe,pico santafe,0.3043986,0.54,0.0,False
hermanas,primero de mayo,0.018319909,0.17,1.0,True
el alamo,san pedro del alamo el alamo,0.8149839,1.0,0.0,True
arroyo alcorneo,caserio alcoraya,0.059742894,0.45,0.0,False
graneros,graneros department,0.35798573,1.0,1.0,True
hueto arriba,oto goien,0.40944198,0.38,1.0,True
cano brian,rio brava,0.0071254587,0.42,0.0,False
provincia de valladolid,valladolid,0.74866015,1.0,1.0,False
you ka tan zhou,puerto de yucalpeten,0.034631852,0.29,0.0,False
san nicolas,san nicolas del tule tule de abajo,0.32255146,1.0,0.0,False
santa cruz,rio de santa cruz,0.58953923,1.0,0.0,True
santa maria,mansilla del paramo,0.0033366312,0.47,0.0,False
panta doliana,panta doliana,0.9909881,1.0,1.0,False
cerro el baul,el baucarit,0.03990025,0.67,0.0,False
lagunetas,las lagunetas,0.97600603,1.0,1.0,False
rio ayutla,nexapa,0.0007074873,0.25,0.0,False
arroyo san pedro,rio san pedro,0.8742517,0.83,1.0,False
tastiata,tastiola,0.93044776,0.75,1.0,False
la flor de jimulco,rancho la felena,0.18933159,0.35,0.0,False
canon de texas,canon texas,0.9940093,1.0,1.0,False
santa maria nieves,santa maria nieves,0.9988566,1.0,1.0,False
rio mojada,rio mojada,0.99344236,1.0,1.0,False
la florida,la experiencia,0.086395,0.5,0.0,False
rio fenix grande,arroyo huayilon,0.0020702453,0.06,0.0,False
zapotitlan,zapotitlan,0.96065724,1.0,1.0,False
microondas la leona,estanque de eguia,0.008908941,0.22,0.0,False
santa maria,sheng ma li ya de er pa la mo,0.022220746,0.3,0.0,False
rio vaqueros,vaquero,0.9687281,0.74,0.0,True
ejido santa maria,santa maria,0.8150048,1.0,0.0,True
vivoras,la vibora,0.623047,0.62,0.0,True
agron,san lorenzo,0.52063,0.25,1.0,False
rio el antrisco,el jabali,0.008555062,0.42,0.0,False
arroyo teguxhie,rio san jeronimo,0.0020089222,0.32,0.0,False
molino del rey,kings mill,0.7380773,0.25,1.0,False
caserio umbria de matasanos,umbria baja,0.004421922,0.71,0.0,False
el blanquillo,congregacion calles,0.48347232,0.31,1.0,True
chutes diguazu,iguazu falls,0.9621236,0.62,1.0,False
valladolid universidad railway station,valladolid universidad,0.98698485,1.0,1.0,False
macano,macana,0.9359903,0.83,1.0,False
santa maria begona,santa maria begona,0.996293,1.0,1.0,False
colonia san joaquin,san joaquin,0.94330555,1.0,1.0,False
santio erreka,santiago errioa,0.6443333,0.79,1.0,False
caserio llano de la torre,llano de la torre,0.9473333,1.0,1.0,False
vainilla,la vaca,0.039893378,0.4,0.0,False
chenalho,chenalo,0.94276166,0.93,1.0,False
san juan river,rio san juan,0.8339185,0.85,1.0,False
aguera de carriles,agueera de carriles,0.9032009,0.97,1.0,False
arroyo pastashe,pastoria,0.273169,0.43,0.0,False
la pared,matas blancas,0.62763965,0.38,1.0,False
rio de nogoli,bahia de los nodales,0.00094788766,0.36,0.0,False
caserio el asegur,el asegur,0.99935776,1.0,1.0,False
san sybastyan dy la ghwmyra,san sebastian de la gomera,0.9290351,0.79,1.0,False
duancos,dsryws,0.091517486,0.31,0.0,False
pena blanca,el limoncito,0.15580545,0.26,0.0,False
rio el jarillal,el jarillal,0.9636307,1.0,1.0,False
parota,palmilla,0.15092199,0.43,0.0,False
estacion colahuila,chapultepec,0.020748267,0.28,0.0,False
salar de jama,salina de jama,0.8308378,0.89,1.0,False
nepantla de sor juana ines de la cruz,cordillera neo volcanica,0.016075322,0.38,0.0,False
estero yaqui cua,canada arregui,0.18001683,0.27,0.0,False
trapagaran valle de trapaga,ria de san salvador,0.0008178814,0.39,0.0,False
cerda,centenil,0.1032127,0.31,0.0,False
cano turuepano,cano viejo,0.7842675,0.58,1.0,False
quita calzon,hato quita calzon,0.4793778,1.0,1.0,True
rio ahio,rio ahio,0.9907137,1.0,1.0,False
san antonio de emenguaro,san antonio de emenguaro,0.9970135,1.0,1.0,False
san jeronimo,presa san nicolas,0.06412829,0.48,0.0,False
andres,san andres tianguistengo,0.034828752,1.0,0.0,False
villa del rosario,la villa del rosario,0.98503184,1.0,1.0,False
primera seccion,pejelagarto,0.06900808,0.23,1.0,True
jerusalen,jerusalen,0.997465,1.0,1.0,False
berregas,veintinueve de noviembre borregas,0.36615214,0.34,1.0,True
juan martinez,san jose,0.14032644,0.29,0.0,False
tzendales,rio tezaconeja,0.022207113,0.35,0.0,False
san jose de la rinconada,caserio san jose,0.045035165,0.67,0.0,False
el palmar,lopez mateos,0.113100454,0.38,1.0,True
caserio la piqueta,caserio la piedra del zahor,0.0011593181,0.71,0.0,False
cano tilin,tiguadore,0.025297204,0.21,0.0,False
nombre de dios,rancho nombre de dios,0.83031106,1.0,1.0,False
san jose rio manso nuevo rio manso,rio manso,0.79052544,1.0,1.0,False
arrabal de la barceloneta,caserio la barceloneta,0.8582367,0.78,1.0,False
san francisco de hoaizonte,san francisco de horizonte horizonte,0.9879224,0.96,1.0,False
rabanalito,ravanalito,0.9983472,0.9,1.0,False
veracruz,beranuy,0.96866196,0.53,1.0,False
penjarno,guerigo,0.013258571,0.4,0.0,False
santa lucia monte verde,santa lucia,0.08476437,1.0,0.0,False
pampa maria santissima,pampa maria santisima,0.9769808,0.98,1.0,False
vinatera,vinateria,0.6237623,0.94,1.0,False
capsanes,capcanes,0.99530834,0.88,1.0,False
caserio el bobar,cortijada del burrueco,0.13171588,0.42,0.0,False
cuchillo de gran tarajal,caserio de piedraescrita,0.008437597,0.46,0.0,False
estacion rivas,rituchic,0.01564467,0.18,0.0,False
paraiso,el paraiso,0.8368254,1.0,1.0,False
santa maria,ingeniero ezcurra,0.07024587,0.29,0.0,False
distrito de riego valle de edzna,xnoha,0.060806513,0.12,0.0,False
san bernardino,san miguel contla,0.3891663,0.35,1.0,True
estacion 3 de febrero,estacion tres de febrero,0.9554144,0.95,1.0,False
la carabina,arroyo carabina,0.80095595,0.84,1.0,False
canada seco,canada seca,0.96444905,0.91,1.0,False
cangas de onis,cangues donis,0.72648007,0.81,1.0,False
cortijada de las tablas,casa del administrador,0.013218729,0.36,0.0,False
san lucas,san lucas de ocampo,0.28752497,1.0,1.0,True
la soledad de guadalupe,rio de sola,0.27655572,0.47,0.0,False
cuetzan del progreso,ciudad de cuetzalan,0.035362586,0.51,1.0,True
palmarito de los ramirez,el palmarito,0.89928055,0.86,1.0,False
servera,yeida,0.1344283,0.33,0.0,False
lazaro cardenas,lazaro cardenas,0.8949295,1.0,1.0,False
el cuate,cuate,0.8786197,1.0,1.0,False
rio del durazno,rio seco hondo,0.15464132,0.48,0.0,False
paraiso,el paraiso,0.8368254,1.0,1.0,False
sierra del carmen,rio del carmen,0.009888994,0.83,0.0,False
la noria,chorros cuates,0.089938514,0.27,0.0,False
la concepcion,compania,0.14828657,0.48,0.0,False
tanque solis,los jacalitos,0.10134105,0.32,0.0,False
artzibar,arkauti,0.0030844517,0.53,0.0,False
angita,an ji ta,0.5818418,0.71,1.0,False
aeropuerto internacional jose tadeo monagas,quiriquire airport,0.5716287,0.26,1.0,False
coronel gregorio mendez magana,gregorio mendez magana,0.9880132,1.0,1.0,False
san miguel tetepelungo,san miguel tetepelcingo,0.9426313,0.93,1.0,False
casigua el cubo,cano casanarito,0.024124524,0.33,0.0,False
vecilla de curueno,la vecilla de curueno,0.99976915,1.0,1.0,False
cerro cashaton,cerro saluchen,0.005396694,0.64,0.0,False
rio alpisahua,almireces,0.008887083,0.36,0.0,False
banzha,bazha,0.97876805,0.91,1.0,False
caserio estrella,estrella,0.97350824,1.0,1.0,False
jose santos arevalo,j santos arevalo,0.984815,0.93,1.0,False
arroyo la guasima gacha,arroyo cablotan,0.023522466,0.57,0.0,False
santa rosa department,santalosa,0.063340575,0.33,0.0,False
el vigia,el vigia,0.9935601,1.0,1.0,False
rio frio de juarez,rio escondido,0.07421516,0.45,0.0,False
adolfo ruiz cortinez,rio baltazar,0.01779486,0.38,0.0,False
pozo toyo,rancho pozo toyo,0.9990722,1.0,1.0,False
huaxyacac juarez,oakhaka de khuares,0.9809456,0.29,1.0,False
bei lun,belenas,0.6704581,0.57,1.0,False
modelo dos rios,flores,0.44897935,0.38,1.0,True
portezuelo quebrada grande,paso quebrada,0.91037357,0.76,1.0,False
navajas,navachas,0.3376617,0.8,1.0,True
jose maria morelos,morelos,0.9289221,1.0,1.0,False
colonia beron de astrada,carlos tomas sourigues,0.0031251574,0.09,0.0,False
barranco de baneras,barranco de baneras,0.9910702,1.0,1.0,False
provincia de tucuman,provincia de tucuman,0.9951048,1.0,1.0,False
la purisima,purisima,0.82613945,1.0,1.0,False
tequesquitillo,tequesquilillo,0.9934718,0.93,1.0,False
la canoa,canada la canoa,0.9714308,1.0,1.0,False
canal principal numero 2,canal principal numero 2,0.99622405,1.0,1.0,False
vazqueno,rancho los vasitos,0.008058156,0.23,0.0,False
paso el lagarto,paso el empedrado,0.023242157,0.64,0.0,False
petlalcingo,san antonio acatepec,0.0034793895,0.32,0.0,False
rio humaya,arroyo de la tinaja,0.8576197,0.34,1.0,False
el manzano,ciudad mante,0.025794137,0.36,0.0,False
rio moreno,rio moreno,0.843362,1.0,1.0,False
laminas uno,laminas uno,0.98879117,1.0,1.0,False
agua nueva,colonia agua nueva sur,0.72654724,1.0,1.0,False
agua fria,agua fria,0.90041226,1.0,1.0,False
la cofradia,cofradia,0.57642686,1.0,1.0,False
ekbalan,ursulo galvan,0.025988696,0.4,0.0,False
rio cocuiza,rio cenizo,0.89786035,0.67,1.0,False
san luis de gustique,san luis de babarocos,0.10876821,0.71,0.0,False
rio valdejinate,barudefuresuno,0.06986884,0.28,0.0,False
cerro aspero,cerro aapero,0.63919,0.92,0.0,True
las negritas,canon las negritas,0.9776983,1.0,1.0,False
mwrws,narwn,0.060158256,0.4,0.0,False
rio tehuantepec,golfe de tehuantepec,0.00949235,0.85,0.0,False
villabuena de alava,viljarreal de alava,0.10179609,0.68,0.0,False
arroyo rincon,el rincon,0.6539278,0.8,0.0,True
cerro pilingui,cerro pilingui,0.9983268,1.0,1.0,False
rancho las cuevas de abajo,cuevas,0.81283194,1.0,1.0,False
coahuayana de hidalgo,la loma,0.555785,0.21,1.0,False
santa maria de martorelles,santa maria de martorellas de arriba,0.04993754,0.85,1.0,True
calaveras,las calaveras,0.9884796,1.0,0.0,True
provincia de girona,provincia de lleida,0.04445997,0.79,0.0,False
el chenque numero cinco,colonia cerro prieto seis,0.0141986795,0.33,0.0,False
el doroado,rancho el divisadero,0.37200516,0.53,0.0,False
cerro de la cienega,cerro la cienega,0.8445831,1.0,1.0,False
cerro paloma,la virgen,0.13038881,0.1,0.0,False
caserio viladomiu vella,caserio viladomiu vella,0.98323154,1.0,1.0,False
el guero barragan,el gueero barragan,0.996151,0.97,1.0,False
el porvenir guerrero,rio terreros,0.24163936,0.44,0.0,False
caserio miralcampo,caserio miralcampo,0.99873626,1.0,1.0,False
rio bacanora,rio bacamuchi,0.0032049278,0.64,0.0,False
norias nuevas,noria del refugio,0.20216747,0.47,0.0,False
ex hacienda de xalpa,xaloxtoc,0.0039667874,0.21,0.0,False
aca,general juan n alvarez international airport,0.82575595,0.09,1.0,False
caramicuas,barranca chavez,0.0195834,0.24,0.0,False
huisarorare,guinolos,0.04849259,0.32,0.0,False
coronado del centro,cornwallis bay,0.010042157,0.42,0.0,False
caserio fuente del fraile,caserio fuente del espino,0.00024062015,0.84,0.0,False
arroyo pozo de viboras,pozo perez,0.14957982,0.57,0.0,False
pueblo libertador,colonia bahia de astrada,0.56276846,0.29,1.0,False
el rosal de la frontera,rosal de la frontera,0.99823576,1.0,1.0,False
perfecto,san perfecto,0.9929327,1.0,1.0,False
cerro macon,cerro macon,0.9853793,1.0,1.0,False
san agustin,san agustin tlaxiaca,0.17848296,1.0,0.0,False
san sebatian nopalera,san sebatian nopalera,0.9889405,1.0,1.0,False
la mesa de andrade,andachires,0.08550595,0.43,0.0,False
nuptunchen,noptunchen,0.98266447,0.9,1.0,False
hacienda santa anita,rancho santa anita,0.79844326,0.76,1.0,False
