name_1,name_2,prediction,label,error
tepehuaxtitlan,tepehuastitlan,1.0,1.0,False
rio balsas,lago de metztitlan,0.0,0.0,False
tutiaiachic,turuachito,1.0,0.0,True
la luz,la loma,0.0,0.0,False
martin dehesa,suchilapan,0.0,0.0,False
grao de castellon,grao,1.0,1.0,False
el gonzaleno,el gomeno,1.0,0.0,True
alto de caballeros,alto estacion caballeros,1.0,1.0,False
laguna la maria,la maria,1.0,1.0,False
san baudilio de llusanes,sant boi de llucanes,0.0,1.0,True
tosisihua,ojo de tosesihua,1.0,1.0,False
cuenca de barberan,cuenca de barbera,1.0,1.0,False
chimalhuacan,chimalhuacan,1.0,1.0,False
barranco de san joaquin,barranco de tenazo,1.0,1.0,False
casa brunel alto,caserio brujuelo,0.0,0.0,False
caserio los yesares,caserio los yesares,1.0,1.0,False
cureda,arroyo cureda,1.0,1.0,False
rio san bartolo,costoche,1.0,0.0,True
san andres,san andres devoxtha,0.0,1.0,True
paso palma,paso de san lorenzo,1.0,0.0,True
el carbon,monte maria,0.0,0.0,False
las alambras,la sa er de wei la si,1.0,0.0,True
caserio vites,caserio vite,1.0,0.0,True
domingo hernandez,barranca domingo hernandez,1.0,1.0,False
mimiyua,minizo,0.0,0.0,False
rancho los lainces,los jucaros,1.0,0.0,True
san jose tenita,san jose temascatio,1.0,0.0,True
changala,rancho las flores,0.0,0.0,False
cortijo,coronanco,0.0,0.0,False
cuautla,cuauhtemoc,0.0,0.0,False
gualaybo,san jose guacayvo,0.0,1.0,True
compostela,consuri,0.0,0.0,False
corralo,corralo,1.0,1.0,False
caserio torre baba,caserio torre baba,1.0,1.0,False
san pedro,rio de san pedro,1.0,1.0,False
mecoacan,tecolma segunda seccion,1.0,0.0,True
agilas,pena del aguila,0.0,0.0,False
vernet sexta seccion,aquiles serdan,0.0,0.0,False
banco del chincorro,san antonio,0.0,0.0,False
san jose alburquerque,san jose de albuquerque,1.0,1.0,False
parc de la ciutadella,la ciutadella,1.0,1.0,False
san juan,san juan de ulua,1.0,1.0,False
escuela tecnica superior de ingenieros de caminos canales y puertos,escuela universitaria de arquitectura tecnica,0.0,1.0,True
caserio de el centenillo,caserio el cejo,0.0,0.0,False
san cayetano de vacas,vacajaqui,0.0,0.0,False
santa fe de mondujar,santa eularia des riu,0.0,0.0,False
casas las cabilas,las cavilas,1.0,1.0,False
bahia de kino,kilometro noventinueve,0.0,0.0,False
cadaques,kadakys,1.0,1.0,False
el guerigo,el huerigo,1.0,1.0,False
madrid getafe,getafe air base,0.0,1.0,True
yoloxochitl 1ra seccion,seccion san pedro,0.0,0.0,False
juan lopez,mole,0.0,1.0,True
templo de quetzalcoatl,benemerita escuela secondaria jose maria morelos y pavon,0.0,0.0,False
orogochari,rio del oro,0.0,0.0,False
el ginete,cortijada el jaul,0.0,0.0,False
caserio los nietos de campo hermoso,los nietos,0.0,1.0,True
caserio las cuevas,las cuevas,0.0,0.0,False
peninsula de jandia,ha long,1.0,0.0,True
san clemente sasebas,san klemente sasebas,1.0,1.0,False
nuevo matzam,nuevo leon,0.0,0.0,False
rancheria nerochachi,los negros,0.0,0.0,False
arroyo rio viejo,rio viejo,1.0,0.0,True
tlaixpan,san mateo,0.0,0.0,False
san jose de cruces,san jose cruces,1.0,1.0,False
el manchon,mancerita,0.0,0.0,False
ejido el fresnillo,fresnillo,1.0,1.0,False
laguna de alcayan,laguna de alcayan,1.0,1.0,False
caserio masia de los perez,masia de los perez,1.0,1.0,False
sahcaba,sahacaba,1.0,0.0,True
guelavila,san baltazar,0.0,1.0,True
tavernes de la valldigna,tabernes blanques,0.0,0.0,False
peon,san andres,0.0,0.0,False
penaguila,pena del hierro,0.0,0.0,False
segunda seccion,segunda seccion,1.0,1.0,False
toliman,rio toliman,1.0,1.0,False
ixhuatan,estacion irolo,0.0,0.0,False
el kilometro dieciocho,praxedis g guerrero,0.0,1.0,True
chila cortaza,chila cortazar,1.0,1.0,False
valdetablas,caserio valdetablas,1.0,1.0,False
zicuicho,rio de sextin,0.0,0.0,False
rancho los ayajiles,los ayajiles,1.0,1.0,False
la florena,el estribo,0.0,1.0,True
santo domingo,rio santo domingo,1.0,1.0,False
tepetilan,san pedro tepetitlan,0.0,1.0,True
mazatlan,mazatan,1.0,1.0,False
san jose,el veintiseis de mayo,0.0,0.0,False
el venadito,rio el venadito,1.0,1.0,False
yaxche chal,yaxche,0.0,0.0,False
rancho la mina,la mina,1.0,0.0,True
las baleares,barcelona sants,0.0,0.0,False
santa fe 2,ejido santa elena,0.0,0.0,False
villamejil,villamediana,0.0,0.0,False
cerro baul,cerro tejon,1.0,0.0,True
los corrales,estancia del llano,0.0,0.0,False
berjafel,berguenda,0.0,0.0,False
rancho puerta de la vibora,penjamo,0.0,0.0,False
campo sesenta y cuatro,campo menonita numero 64,1.0,1.0,False
villardecencias,villardecencias,1.0,1.0,False
bahia de aduar,acumbaro,0.0,0.0,False
anforacion,el caracol,0.0,0.0,False
loma el nino,loma del nino,1.0,1.0,False
salamea,zalamea,1.0,1.0,False
rancho la costa,san francisco de costa rica,0.0,1.0,True
piedra gorda,san jose morella,0.0,0.0,False
bajoi,bajhe,0.0,1.0,True
quiringueica,quiringuica,1.0,1.0,False
el pital,el pitayo,0.0,0.0,False
san agustin,san agustin,1.0,1.0,False
san cristobal ixcatlan,santa ines yatzeche,0.0,0.0,False
san juan zapotitlan,san juan yae,0.0,0.0,False
estacion de sayaton,savinao,0.0,0.0,False
caserio lo navarro,lomopardo,0.0,0.0,False
san pedro de galdames,galdames beitia,0.0,1.0,True
santo nino,santo nino,1.0,1.0,False
cienaga del alamo,rancho la cieneguita de chepes,0.0,0.0,False
ma er tuo lei li,fondeadero de los martires,0.0,0.0,False
los llanos de santiago,el cerrito de garibo,0.0,0.0,False
illote ansaron,caserio anroig,0.0,0.0,False
fondo dels frares,hwndwn d lws frayls,1.0,1.0,False
punta paloma,pmi,1.0,0.0,True
aron,arneva,0.0,0.0,False
suo er te,provincia de soria,1.0,0.0,True
humada,umada,1.0,1.0,False
pajaritos,pajarito,1.0,0.0,True
pobla de benifassar,puehbla de asaba,0.0,0.0,False
rio seco,arroyo seco,1.0,1.0,False
las montanas,caserio las molineras,0.0,0.0,False
valverde de la virkhen,caserio valverde de gonzalianez,0.0,0.0,False
mesa del jaguey,la guera,1.0,0.0,True
kaljus,kalus,1.0,1.0,False
la estacion,estacion de selgua,1.0,0.0,True
mondego,montcada,0.0,0.0,False
santa maria,boca del rio,0.0,0.0,False
los otates,otatas,0.0,0.0,False
las animas,las animas,1.0,0.0,True
toru,sauceda,1.0,0.0,True
quieri,quiegolani,1.0,0.0,True
santa maria,santa maria tulpetlac,1.0,0.0,True
rio amanalco,rio amanalco,1.0,1.0,False
rancho san jose,san jose,0.0,1.0,True
narahio,rio nanton,0.0,0.0,False
jose maria morelos y pavon,jose maria morelos y pavon,1.0,1.0,False
san jose,colonia san jose,0.0,0.0,False
penkuyut,penkuyul,1.0,1.0,False
san pedro remate,belisario dominguez,0.0,0.0,False
ixona hijona,cabo higuer,0.0,0.0,False
san julian,artes,0.0,1.0,True
el ayaleno,la agustina,0.0,0.0,False
eijon,eijo,1.0,0.0,True
ospitalet de lobregat,lhospitalet de llobregat,1.0,1.0,False
badehuarachic,badeguachi,1.0,1.0,False
general emiliano zapata,licenciado adolfo lopez mateos,1.0,0.0,True
san miguel soyaltepec,soyaltepec,1.0,1.0,False
santa ana tlapacoyan,santa ana,1.0,0.0,True
san andres,san andres,1.0,1.0,False
primera seccion,rio huil,0.0,0.0,False
rancho tisnada,tiznada,1.0,1.0,False
caserio casas del civil,caserio casas del civil,1.0,1.0,False
san juan de penuelas,san juan penuelas,1.0,1.0,False
matasueiro,rio matarrana,0.0,0.0,False
turuachic,turuachic grande,1.0,1.0,False
casas lobrega,lobrega,1.0,1.0,False
barrio ponton alto,rio canahuete,0.0,0.0,False
caserio can rosell,can rossell,1.0,1.0,False
la capilla,capetamaya,0.0,0.0,False
asuncion cacalotepec,asuncion,0.0,0.0,False
cacalchen,estacion la sombrilla,0.0,0.0,False
nuevo mezcalpa,nanguelu,0.0,0.0,False
colonia plan de ayala,ocotla,0.0,0.0,False
rancho el costeno,mision san vicente ferrer,0.0,0.0,False
isla conejera,conejera,1.0,1.0,False
caserio fuente del pino,caserio fuente del fraile,0.0,0.0,False
santa maria,santa maria apasco,0.0,0.0,False
sierra de pintas,sierra las pintas,1.0,1.0,False
puerto usaide,urumea ibaia,0.0,0.0,False
ai lai xi duo,el ejido,0.0,1.0,True
estacion oroz,oroz,1.0,1.0,False
pajareiros,pajaritos,1.0,1.0,False
sant rafel del riu,segorb,0.0,0.0,False
rio poturo,inguaran,0.0,0.0,False
tuitan,tucucam,1.0,0.0,True
rancho san agustin,san agustin,1.0,1.0,False
markinez,marquinez,1.0,1.0,False
santa rosa de jauregui,santa rosa,1.0,1.0,False
caserio retamalejo,requena,0.0,0.0,False
vinateria,vinateria,1.0,0.0,True
kilometro treinta y tres,santa ines,0.0,0.0,False
rancheria cocohuichi,rancho 5 hermanos,0.0,0.0,False
iquipac,ixmatlahuacan,1.0,0.0,True
presa francisco i madero,luis l leon,1.0,0.0,True
san jeronimo otla,otla,1.0,1.0,False
bahia tehualmixtle,rio tehuehuetla,0.0,0.0,False
san pedro cumuapa,san pedro cumuapa primera seccion,0.0,1.0,True
rancho san pedro,pedro jicora,0.0,0.0,False
rincon de serna,vinedas cuauhtemoc,1.0,0.0,True
san julian,san julian,1.0,1.0,False
rancheria la laguna,rancheria la laguna,1.0,1.0,False
deva river,rio deva,0.0,0.0,False
sotolitos,sotelitos,1.0,1.0,False
ormaiztegi,caserio oris,0.0,0.0,False
la cienega,san miguel la cienega,1.0,1.0,False
el mingrano,el medano,0.0,0.0,False
las pilas de la salitrera,pilas,1.0,1.0,False
amorebieta,ameva,1.0,0.0,True
antonio escobedo,san juanito,1.0,1.0,False
san cristobal,jupatahueco,0.0,0.0,False
caserio los brunales,los brianes,1.0,0.0,True
algame,rancho el aigame,1.0,1.0,False
panuco river,rio panuco,0.0,1.0,True
san salvador,cerbana,0.0,1.0,True
castillo,el castillo,1.0,1.0,False
mina santa elena,mina de santa elena,1.0,1.0,False
segunda seccion,segunda seccion,1.0,1.0,False
a lai a mai si tu,moreda araba moreda de alava,0.0,0.0,False
caserio cambroncino,caserio cambron,0.0,0.0,False
santa maria,san pedro de nos,0.0,0.0,False
hueto arriba,oto goien,0.0,1.0,True
miranda,caserio miranda,1.0,1.0,False
banuegues,arroyo de banuelos,0.0,0.0,False
bacoy,batxikabo,0.0,0.0,False
rio ixno ha,rio blanco,0.0,0.0,False
arroyo verderon,arroyo verderon,1.0,1.0,False
cofradia santa cruz de camotlan,la cofradia de comatlan,0.0,1.0,True
xcabanche,xabanche,1.0,1.0,False
chacon,rio de chacmuchuch,0.0,0.0,False
caserio valdelaguna,valdelagva del serro,0.0,0.0,False
canita de lagos,canita de lagos,1.0,1.0,False
rincon de aliso,el rincon,0.0,1.0,True
teamolapa,teamolapan,0.0,1.0,True
koacakoalkos,kwatzakwalkws,0.0,1.0,True
caltepantla,san miguel,0.0,0.0,False
san salvador,el salvador,1.0,1.0,False
el mezon,el meson,1.0,1.0,False
nacaxtle,juan de la luz enriquez,0.0,1.0,True
el limon de san lucas,el limon,0.0,1.0,True
mansanares el real,man sa na lei sai er lei ya er,1.0,1.0,False
san jose del valle,san jose del valle,1.0,1.0,False
bahia de la paz,ensenada de la paz,1.0,1.0,False
canatan,rio de las canas,0.0,0.0,False
tan can,tancah,1.0,1.0,False
el capulin,el capulin de los sanchez,1.0,1.0,False
rio santurdejo,puerto de esperaban,0.0,0.0,False
leyes de reforma,heroes de la independencia,1.0,0.0,True
dos hermanas,dosaiguees,0.0,0.0,False
laguna del marques,laguna el marques,1.0,1.0,False
bahia de banderas,bahia de las banderas,1.0,1.0,False
errioxa,la rioja,0.0,1.0,True
el caiman,caiman,1.0,1.0,False
eltipac,san juan teitipac,1.0,1.0,False
rancho santa ines,santa ines,1.0,1.0,False
valdelentisco,caserio valdelentisco,1.0,1.0,False
posuelo de sarson,bo su ai luo de sa er song,0.0,1.0,True
regantes numero diecinueve,regantes numero diecinueve,1.0,1.0,False
santo domingo chontecomatlan,chontecomatlan,1.0,1.0,False
noria san juan,san juan,1.0,1.0,False
santa maria,vicalvaro distritu,0.0,0.0,False
presa las lajillas,laguna palos,0.0,0.0,False
del rio,del rio,1.0,1.0,False
orejeria,oveja,0.0,0.0,False
san francisco zentlapa,zentlalpan,0.0,1.0,True
arroyo hondito,las maravillas,0.0,1.0,True
canon la yerbabuena,canon potrerillos,0.0,0.0,False
la cruz,cruz,0.0,0.0,False
la noria,chorros cuates,0.0,0.0,False
estacion omealca,estacion omealca,1.0,1.0,False
xalpatlahuac,xalpatlahuac,1.0,1.0,False
jarata,caserios de jarata,1.0,1.0,False
tendin,tedin,1.0,1.0,False
barrio los martires,los martinez de canadas de san pedro,0.0,0.0,False
los balcones,caserio los balcones,1.0,1.0,False
caserio marchante,marbyla,0.0,0.0,False
rancho progreso,rancho el prieto ramireno,0.0,0.0,False
la guasima,el guamuchil,1.0,0.0,True
jajalpa,santa maria jajalpa,1.0,0.0,True
canada la ortiga,rincon de arriba,0.0,0.0,False
hacienda humboldt,ejido julimes,0.0,1.0,True
argomaizko paradorea,hondarribiko paradorea,1.0,0.0,True
barranca de cano,la boquilla,0.0,1.0,True
reial jardi botanic de madrid,sant rafel,0.0,0.0,False
montejo de cevas,mnthrmsw,0.0,0.0,False
rancho la puerta del capulin,la soledad,0.0,0.0,False
yucuxaco,san pedro martir yucuxaco,1.0,1.0,False
rio tlalixtaquilla,rio tlalixtaquilla,1.0,1.0,False
jesus mari,jesus maria,0.0,1.0,True
santo tomas jalieza,santo tomas jalieza,1.0,1.0,False
riu senia,riu cenia,1.0,1.0,False
gardelegi,arroyo del canipon,0.0,0.0,False
platanar del tesgueino,arroyo la cocona,0.0,0.0,False
lacanja,lacanja,1.0,1.0,False
rio montsant,santa maria,0.0,0.0,False
refugio,rancho el refugio,1.0,1.0,False
isla cristina,asla krystyna,1.0,1.0,False
santa rosa,kilinche,0.0,0.0,False
las cuatro hermanas,merino,0.0,0.0,False
rancho ojos coloradas,sierra ojos azules,0.0,0.0,False
rio las abejas,las abejas,1.0,1.0,False
estacion de navalgrande,canto el pico,0.0,1.0,True
san cipriano,san ciprian,1.0,1.0,False
rywdms,liu duo mu si,0.0,1.0,True
volcan barcena,el boqueron,0.0,1.0,True
rio queretaro,rio san lucas,0.0,0.0,False
santa maria la union,mesa el jaguey,0.0,0.0,False
ai er pa suo,el partidor,1.0,0.0,True
san andres zautla,zautla,1.0,1.0,False
rio los otates,palmaritos,1.0,0.0,True
rancho consuri,komonfort,0.0,0.0,False
barranca tototzina,barranca tototzinac,0.0,1.0,True
trinidad garcia de la cadena,estanzuela,0.0,1.0,True
cerro la agonia,la agonia,1.0,1.0,False
puente del carmen,pueblito viejo,0.0,0.0,False
empuriabrava,el gasco,0.0,0.0,False
el martirio,el triangulo,0.0,1.0,True
santa barbara,santa barbara,1.0,1.0,False
caserio el griego,grao,0.0,0.0,False
luis echeverria alvarez,serrania,0.0,0.0,False
el pelon,cerro el pelon,1.0,1.0,False
san antonio,caserio san antonio,1.0,0.0,True
embalse de korteta,embalse de corceta,1.0,1.0,False
rio de santa casilda,arroyo de santa casilda,1.0,1.0,False
tiltepec,tiltepequillo,1.0,1.0,False
pabellon de arteaga,pabellon cochori,0.0,0.0,False
rio viejo,rio viejo,1.0,1.0,False
rio san juan,canon san juan,1.0,0.0,True
la gueera,rincon del guero,0.0,0.0,False
el pital,paso del pital,1.0,1.0,False
el melon,el melon,1.0,1.0,False
punta de anton lizardo,punta coyol,1.0,1.0,False
rancho palo blanco,refugio,0.0,1.0,True
rio san juan,rio san juan,1.0,1.0,False
cieneguilla,cieneguillas,1.0,0.0,True
jobo,cuauhtemoc,0.0,1.0,True
estacion de lavern subirats,barcelona city ramblas pensio canaletas,0.0,0.0,False
cienega,la cienaga,0.0,0.0,False
el calvario,caserio el calvario,1.0,1.0,False
cacaloapan,san andres,0.0,1.0,True
villa zaragoza,zaragoza,1.0,1.0,False
ehchalar,valle de egues,0.0,0.0,False
colonia de san roman,caserio casa del cerro,0.0,0.0,False
belem de maria,belem de maria,1.0,1.0,False
tzajala,san isidro,0.0,0.0,False
viejito,viejecito,1.0,1.0,False
el cerrito de la cofradia,barranca de la changunga,0.0,0.0,False
potrero del llano la mula,la mula,1.0,1.0,False
caserios magdalena de castro,rio magasquilla,0.0,0.0,False
tacubaya,san jose de zaragoza,0.0,0.0,False
san nicolas,rincon miguel,0.0,0.0,False
caserio cela,cela,1.0,1.0,False
caserio las canteras,las canteras,1.0,1.0,False
licenciado gustavo diaz ordaz,san telmo de abajo,0.0,1.0,True
villodas,villodas,1.0,1.0,False
albryt,albergueria,0.0,0.0,False
el uno,rancho numero dos,0.0,0.0,False
mogotes de san jose parangueo,parangeo,1.0,1.0,False
villaviciosa de odon,villaverde,0.0,0.0,False
cerro cobachi,coalcoman de vazquez pallares,0.0,0.0,False
farallon don carlos,nicolas blanco,0.0,0.0,False
hafen von malaga,puerto de almeria,0.0,0.0,False
sindihui,rio hondo,0.0,0.0,False
rio de cazones,cazones de herrera,0.0,0.0,False
mojonera,la mojonera,1.0,1.0,False
rancho de perez,rancho de perez,1.0,1.0,False
kampaspero,sierra de campanue,0.0,0.0,False
rio san jose,san jose,0.0,1.0,True
palmillitas,palmillas,1.0,1.0,False
arroyo de la cienaga,la cienaga,1.0,0.0,True
el limon,el limon,1.0,1.0,False
laguna del caimanero,estacion caimanero,1.0,0.0,True
col napoles,napoles,1.0,1.0,False
arroyo de tepezala,casi el paraiso,0.0,0.0,False
arroyo el azafran,arroyo el azafran,1.0,1.0,False
santa maria,santa maria del oro,0.0,1.0,True
flores,flores de begona,0.0,0.0,False
milpa,milpas,0.0,1.0,True
deesas de guadiks,dehesas de guadix,1.0,1.0,False
madremana,madremanya,1.0,1.0,False
bajio de tejas,bajio de tejas,1.0,1.0,False
huesca pirineos airport,aeroport de huesca pirineos,0.0,1.0,True
corona,cerro la corona,1.0,0.0,True
quemado,quemada,1.0,0.0,True
nicolas romero,nicolas flores,1.0,0.0,True
las animas,animas,1.0,1.0,False
la copa,las penitas,0.0,0.0,False
el jabalin,mesa el guencho,0.0,0.0,False
heroes de la tableta,tableta,1.0,1.0,False
santa fe,tanque santa fe,1.0,0.0,True
gosategialdea,gozategialdea,1.0,1.0,False
san matias,rancho san matias,1.0,1.0,False
san diego,la mesa tochimiltzingo,1.0,0.0,True
el veintidos,el carmi,0.0,1.0,True
el fraile,rancho las flores,1.0,0.0,True
nombre de dios,los nogales,0.0,0.0,False
isla tiburon,isla del tiburon,1.0,1.0,False
cumuripa,porvenir cumuripa,1.0,1.0,False
minarzo,minano menor,1.0,0.0,True
santa marta,bahia de santa marina,0.0,0.0,False
coacoyula,coacotzintla,1.0,0.0,True
balalcazar,blalkzar,0.0,1.0,True
una,santa teresa de la una,0.0,1.0,True
goyjaquia,goijaquia,1.0,1.0,False
san jose del romerillal,san jose de romerillo,0.0,1.0,True
colorado,el colorado,1.0,1.0,False
tenerife syd lufthavn,aeropuerto internacional de los rodeos,0.0,0.0,False
ovio,principaute des asturies,0.0,0.0,False
rio navazamplon,provincia de zamora,0.0,0.0,False
rancho burbujas,ensenada cajon del muerto,0.0,1.0,True
isla de juana ramirez,juana maria,1.0,0.0,True
isla de leon,isla de leon,1.0,1.0,False
ponpelada,pomar de valdivia,0.0,0.0,False
mahon,caserios magdalena de castro,0.0,0.0,False
la haciendita,la haciendita carretena,0.0,0.0,False
rio de las uces,islas serralleiras,0.0,0.0,False
santiago pena,santiago,0.0,0.0,False
lac tort de rius,parador de siguenza,0.0,0.0,False
corralillos,corralillo,1.0,1.0,False
san martin,gurulles,1.0,1.0,False
caserio los valentinos,los valentines,0.0,1.0,True
calatanazor,calatanazor,1.0,1.0,False
noria romo,rancho de nuestra senora,0.0,0.0,False
ojo del lucero,laguna ojo de liebre,0.0,0.0,False
azayatla,atzolcintla,0.0,0.0,False
rio el naranjo,naranjo,1.0,0.0,True
santo domingo huendio,santo domingo huendio,1.0,1.0,False
rancho rio escondido,rio tuxtla,0.0,0.0,False
santa maria,gomara,1.0,0.0,True
santa maria,rio butron,0.0,0.0,False
lamama,san ciprian,0.0,1.0,True
rio potrero de los vargas,estacion leon fonseca,0.0,0.0,False
la loma de tecuyo,la loma de arriba,0.0,0.0,False
felix gomez,felix gomez,1.0,1.0,False
barig,barig,1.0,1.0,False
santa lucia,cerro santa lucia,1.0,1.0,False
el faisan,ejido javier rojo gomez,0.0,0.0,False
sierra el viejo,laguna de victorio,0.0,0.0,False
rio san fernando,rio san fernando,1.0,1.0,False
san andres del pedregal,san andres,0.0,1.0,True
zoogochi,zoogochy,1.0,1.0,False
andres,san andres tianguistengo,0.0,0.0,False
santa ines,santa ines borbolla,0.0,0.0,False
punta coyol,rio antigua,0.0,0.0,False
el rincon de tio nacho,el rincon de tio nacho,1.0,1.0,False
el gatun,gatun,1.0,0.0,True
rio arcar,rio anzur,0.0,1.0,True
la quina,boquilla de quinones de abajo,0.0,0.0,False
kontxa,comarca de lalt emporda,0.0,0.0,False
san pedro teococuilco,santiago zoquiapam,0.0,0.0,False
arroyo jincore,jincore,1.0,1.0,False
epazote,apazote,1.0,1.0,False
rio balsas,balsas river,0.0,1.0,True
rio tamoga,tamoga,1.0,0.0,True
masia ramona,mas de monfort,0.0,0.0,False
santa maria,los ebanos,0.0,1.0,True
rio flamisell,riu flamicell,1.0,1.0,False
caiman,el caiman,1.0,1.0,False
estacion trevino,villa de carmen,0.0,0.0,False
la agueita del rosario,la aguita del rosario,1.0,1.0,False
san martin,san cipriano,0.0,0.0,False
arroyo del valle,rio das balsadas,0.0,0.0,False
caserio el cuervo,caserio el cuervo,1.0,1.0,False
rio la barranca,la barranca,1.0,1.0,False
mozotal,rio mozotal,1.0,1.0,False
una de gato,san antonio tedzidz,0.0,0.0,False
los ponos,arroyo de los panos,0.0,1.0,True
oguira,ejido ohuira,1.0,1.0,False
taxtho,taxipehuatl,0.0,0.0,False
cajon de uvalama,buenavista,0.0,0.0,False
xaltocan,ejido xaltocan,1.0,0.0,True
paramos de poza,paramos de poza,1.0,1.0,False
la encina,dehesa,1.0,0.0,True
san adrian,villarvello de sujo,0.0,0.0,False
cortijo de santa teresa,caserio santa quiteria,0.0,0.0,False
arroyo de castanos,rambla castanar,0.0,0.0,False
santa maria,vidra,1.0,0.0,True
lachixela,lachixila,1.0,1.0,False
el alacran,maravatio del encinal,0.0,0.0,False
arroyo hondo,arroyo quebrada honda,1.0,1.0,False
boca hueyapa,barretosa,0.0,0.0,False
canada el ancon,el ancon,0.0,1.0,True
punta del roquete,morro del hoyo,0.0,1.0,True
san bartolo,tutotepec,1.0,0.0,True
las matillas cuarta seccion,cerro las marias,0.0,0.0,False
el guencho,mesa el guencho,1.0,1.0,False
san jose de mechas,san jose de cruces,1.0,0.0,True
rio cien tinajas,rio cien tinajas,1.0,1.0,False
teotitlan del valle,teotitlan,1.0,1.0,False
rio ayotusco,ayotuxco,1.0,1.0,False
monte del pardo,el pardo,1.0,0.0,True
tablero,el tabero,1.0,1.0,False
orzola ferry port,orzola port,0.0,1.0,True
tules,los nogales,0.0,1.0,True
